date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:38:46	116571/116571	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202026%2013:38:43%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/index.html	(from )
08:38:46	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202026%2013:38:41%20GMT	https://web.archive.org/robots.txt		(from )
08:38:47	27135/27135	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Mar%202026%2000:55:41%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=2N_sDSC0	C:/Mike_Abe/kim2-20251107/web-static.archive.org/_static/js/bundle-playbackffba.js	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:38:47	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Mar%202026%2000:55:41%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/Mike_Abe/kim2-20251107/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:38:47	381452/381452	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2004%20Mar%202026%2000:51:13%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/Mike_Abe/kim2-20251107/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:38:47	10252/10252	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Mar%202026%2000:50:27%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=1utQkbB3	C:/Mike_Abe/kim2-20251107/web-static.archive.org/_static/css/banner-styles074f.css	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:38:48	5649/5649	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Mar%202026%2000:51:13%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/Mike_Abe/kim2-20251107/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:38:53	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:38:53%20GMT	https://web.archive.org/web/20251107210346cs_/https://www.blogger.com/static/v1/widgets/4128112664-css_bundle_v2.css	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346cs_/https_/www.blogger.com/static/v1/widgets/4128112664-css_bundle_v2.5.delayed	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:38:56	37689/37689	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202026%2013:38:55%20GMT	https://web.archive.org/web/20251107205922cs_/https://www.blogger.com/static/v1/widgets/4128112664-css_bundle_v2.css	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107205922cs_/https_/www.blogger.com/static/v1/widgets/4128112664-css_bundle_v2.css	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:38:57	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:38:57%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/feeds/posts/default	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/feeds/posts/default.7.delayed	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:38:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:38:58%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/feeds/posts/default?alt=rss	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/feeds/posts/default9522	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:00%20GMT	https://web.archive.org/web/20251107210346im_/http://www.blogblog.com/1kt/awesomeinc/tabs_gradient_light.png	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346im_/http_/www.blogblog.com/1kt/awesomeinc/tabs_gradient_light.png	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:01	182/182	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Mar%202026%2013:39:01%20GMT	https://web.archive.org/web/20251107213056im_/https://www.blogblog.com/1kt/awesomeinc/tabs_gradient_light.png	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107213056im_/https_/www.blogblog.com/1kt/awesomeinc/tabs_gradient_light.png	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:02%20GMT	https://web.archive.org/web/20251107210346cs_/https://www.blogger.com/dyn-css/authorization.css?targetBlogID=8962438983819161514&zx=4475f956-132b-4497-b872-ea21abff799b	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346cs_/https_/www.blogger.com/dyn-css/authorization5d9b.css	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:04	439/439	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202026%2013:39:04%20GMT	https://web.archive.org/web/20260206190334cs_/https://www.blogger.com/dyn-css/authorization.css?targetBlogID=8962438983819161514&zx=4475f956-132b-4497-b872-ea21abff799b	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20260206190334cs_/https_/www.blogger.com/dyn-css/authorization5d9b.css	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:06%20GMT	https://web.archive.org/web/20251107210346js_/https://apis.google.com/js/platform.js	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346js_/https_/apis.google.com/js/platform.js	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:09%20GMT	http://web.archive.org/web/20251107210346/http://pagead2.googlesyndication.com/pagead/js/google_top_exp.js	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/pagead2.googlesyndication.com/pagead/js/google_top_exp.f.delayed	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:12	66389/66389	---MC-	200	added ('OK')	text/javascript	date:Tue,%2017%20Mar%202026%2013:39:08%20GMT	https://web.archive.org/web/20251107205605js_/https://apis.google.com/js/platform.js	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107205605js_/https_/apis.google.com/js/platform.js	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:12	1340/1340	---MC-	200	added ('OK')	text/javascript	date:Tue,%2017%20Mar%202026%2013:39:12%20GMT	http://web.archive.org/web/20251107211006/https://pagead2.googlesyndication.com/pagead/js/google_top_exp.js	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107211006/https_/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:13	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:13%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/p/about.html	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/p/about.html	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:15%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/p/index.html	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/p/index.html	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:17	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:17%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/p/new-updates.html	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/p/new-updates.html	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:18	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:18%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/p/family-memorials.html	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/p/family-memorials.html	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:19	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:19%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/p/sources-list.html	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/p/sources-list.html	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:22	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:22%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/p/source-101-200.html	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/p/source-101-200.html	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:23	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:23%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/p/sources-201-300.html	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/p/sources-201-300.html	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:24	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:24%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/p/abe-family-heritage-books-and-records.html	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/p/abe-family-heritage-books-and-records.html	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:25	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:25%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/view/magazine	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/view/magazine	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:27	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:26%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/2011/10/sophia-jane-abe-11-021.html	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/2011/10/sophia-jane-abe-11-021.html	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
